"","yearid","year_1b","year_2","id_1b","id_2","coninc_1b","coninc_2","race_1b","sexnow_1b","sexnow1_2","affrmact_norm1b","gunlaw_norm1b","partyid_norm1b","affrmact_norm2","gunlaw_norm2","partyid_norm2"
"48",20180465,2018,2020,465,1002,158201.84123,168736.29696,1,NA,2,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0.333333333333333
"49",20180471,2018,2020,471,1006,26287.5,21840,1,NA,2,0.333333333333333,0,0,0,0,0
"50",20180485,2018,2020,485,1013,98140,168736.29696,1,NA,1,0.666666666666667,0,0.666666666666667,0.666666666666667,0,0.666666666666667
"51",20180487,2018,2020,487,1015,47317.5,45360,2,NA,2,1,1,0,0,1,0
"52",20180508,2018,2020,508,1019,70100,55440,3,NA,2,0.666666666666667,0,0.166666666666667,1,0,0.333333333333333
"53",20180512,2018,2020,512,1022,NA,168736.29696,1,NA,2,1,1,0.5,0.666666666666667,1,0.666666666666667
"54",20180513,2018,2020,513,1023,19277.5,30240,1,NA,1,1,0,0.5,0.666666666666667,0,0.5
"55",20180514,2018,2020,514,1024,112160,94080,1,NA,1,0.333333333333333,1,0.5,0,0,0.5
"56",20180518,2018,2020,518,1025,22782.5,25200,1,NA,2,0.333333333333333,0,0.166666666666667,0.333333333333333,0,0
"57",20180529,2018,2020,529,1029,47317.5,45360,1,NA,2,1,1,0.833333333333333,1,1,0.833333333333333
"58",20180547,2018,2020,547,1037,14896.25,45360,1,NA,2,1,0,0.833333333333333,1,0,1
"59",20180550,2018,2020,550,1038,70100,67200,1,NA,2,1,0,0.333333333333333,1,0,0.333333333333333
"60",20180551,2018,2020,551,1039,47317.5,45360,1,NA,1,0.666666666666667,0,0.5,0.666666666666667,0,0.5
"61",20180568,2018,2020,568,1047,47317.5,168736.29696,1,NA,1,0,0,0,0,0,0
"62",20180582,2018,2020,582,1052,7886.25,NA,1,NA,1,0.666666666666667,0,0.5,1,0,0.333333333333333
"63",20180608,2018,2020,608,1061,47317.5,67200,1,NA,2,0.666666666666667,0,0.166666666666667,1,0,0.5
"64",20180613,2018,2020,613,1062,84120,30240,3,NA,1,1,0,0.5,1,0,0.5
"65",20180622,2018,2020,622,1068,84120,30240,2,NA,2,1,0,0.333333333333333,0,0,0.333333333333333
"66",20180629,2018,2020,629,1070,38555,25200,1,NA,1,0.666666666666667,0,1,0.666666666666667,0,0.833333333333333
"67",20180638,2018,2020,638,1076,9638.75,14280,2,NA,2,1,1,0.333333333333333,1,1,0
"68",20180647,2018,2020,647,1081,158201.84123,67200,1,NA,2,1,0,1,0.666666666666667,1,1
"69",20180653,2018,2020,653,1085,38555,67200,2,NA,2,1,0,0.166666666666667,0.333333333333333,0,0.5
"70",20180660,2018,2020,660,1088,22782.5,36960,2,NA,1,1,0,0,0.333333333333333,1,0
"71",20180664,2018,2020,664,1089,70100,45360,3,NA,2,1,1,0.666666666666667,1,1,0.666666666666667
"72",20180675,2018,2020,675,1093,38555,36960,1,NA,2,1,0,1,1,1,1
"73",20180680,2018,2020,680,1095,26287.5,336,2,NA,2,0,0,0.5,1,1,0.5
"74",20180687,2018,2020,687,1098,NA,10920,1,NA,2,0.666666666666667,1,0.5,1,0,0.5
"75",20180708,2018,2020,708,1103,57832.5,15960,1,NA,1,0.666666666666667,0,0.5,0.666666666666667,1,0.5
"76",20180719,2018,2020,719,1106,158201.84123,168736.29696,1,NA,2,1,0,0,0,0,0
"77",20180725,2018,2020,725,1110,5257.5,4368,2,NA,2,0.666666666666667,0,0,1,0,0
"78",20180744,2018,2020,744,1116,38555,36960,1,NA,2,1,0,0.666666666666667,1,0,0.666666666666667
"79",20180750,2018,2020,750,1118,47317.5,55440,2,NA,2,0,0,0,0,0,0
"80",20180760,2018,2020,760,1123,57832.5,67200,3,NA,1,0.333333333333333,0,0.166666666666667,1,0,0.166666666666667
"81",20180762,2018,2020,762,1124,98140,168736.29696,1,NA,2,0.666666666666667,0,0.333333333333333,0.666666666666667,0,0.333333333333333
"82",20180773,2018,2020,773,1132,9638.75,NA,1,NA,1,1,1,0.5,NA,0,0
"83",20180777,2018,2020,777,1134,26287.5,15960,1,NA,1,1,0,0.5,1,0,0.5
"84",20180788,2018,2020,788,1138,38555,9240,3,NA,2,0,1,0.833333333333333,1,1,0.5
"85",20180789,2018,2020,789,1139,98140,NA,1,NA,1,0.666666666666667,0,0.5,1,0,0.333333333333333
"86",20180798,2018,2020,798,1145,26287.5,30240,2,NA,2,0.666666666666667,0,0,1,1,0
"87",20180807,2018,2020,807,1150,158201.84123,168736.29696,1,NA,2,0.666666666666667,1,0.333333333333333,1,0,0.333333333333333
"88",20180827,2018,2020,827,1159,NA,NA,1,NA,1,0.333333333333333,0,0.833333333333333,1,0,1
"89",20180838,2018,2020,838,1163,NA,2352,3,NA,1,0,0,0.5,0.666666666666667,0,0.5
"90",20180846,2018,2020,846,1166,47317.5,45360,1,NA,2,0.666666666666667,0,0.833333333333333,0.666666666666667,0,0.166666666666667
"91",20180849,2018,2020,849,1167,NA,15960,1,NA,1,0.666666666666667,0,0.166666666666667,0.333333333333333,0,0.833333333333333
"92",20180855,2018,2020,855,1171,47317.5,45360,1,NA,1,0.333333333333333,0,0,0.666666666666667,0,0
